SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,All Ages,Southern California,07/08/2023,27,2023,1514,23608,6.413080312,Low,98,4818,2.034039,Low,6,3766,0.15932,Very Low,,,,,,,,,,,,,,,,1630,12,0,0,0.736196,0,0,,,
2023/2024,>64 yrs,Bay Area,07/08/2023,27,2023,614,9581,6.408516856,Low,12,460,2.608696,Low,2,469,0.426439,Very Low,,,,,,,,,,,,,,,,810,19,1,0,2.345679,0.123457,0,,,
2023/2024,0-17 yrs,Los Angeles,07/08/2023,27,2023,129,2664,4.842342342,Low,30,358,8.379888,Low,3,218,1.376147,Low,,,,,,,,,,,,,,,,16,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Los Angeles,07/08/2023,27,2023,462,12082,3.82387022,Low,19,1140,1.666667,Very Low,2,831,0.240674,Very Low,,,,,,,,,,,,,,,,849,8,0,0,0.942285,0,0,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,07/08/2023,27,2023,45,924,4.87012987,Low,8,190,4.210526,Low,0,61,0,Very Low,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Central California,07/08/2023,27,2023,75,3061,2.45017968,Very Low,11,177,6.214689,Low,0,153,0,Very Low,,,,,,,,,,,,,,,,14,1,0,0,7.142857,0,0,,,
2023/2024,All Ages,Bay Area,07/08/2023,27,2023,1799,40924,4.395953475,Low,69,1545,4.466019,Low,8,1550,0.516129,Very Low,,,,,,,,,,,,,,,,1068,22,1,0,2.059925,0.093633,0,,,
2023/2024,18-64 yrs,Southern California,07/08/2023,27,2023,867,13323,6.507543346,Low,44,2402,1.831807,Very Low,0,1901,0,Very Low,,,,,,,,,,,,,,,,427,2,0,0,0.468384,0,0,,,
2023/2024,All Ages,Rural North,07/08/2023,27,2023,88,1075,8.186046512,Moderate,5,189,2.645503,Low,0,63,0,Very Low,,,,,,,,,,,,,,,,138,2,0,0,1.449275,0,0,,,
2023/2024,18-64 yrs,Central California,07/08/2023,27,2023,362,11593,3.122573967,Low,9,368,2.445652,Low,0,313,0,Very Low,,,,,,,,,,,,,,,,204,2,0,0,0.980392,0,0,,,
2023/2024,18-64 yrs,Los Angeles,07/08/2023,27,2023,901,17019,5.294083084,Low,46,1878,2.449414,Low,0,1463,0,Very Low,,,,,,,,,,,,,,,,292,0,0,0,0,0,0,,,
2023/2024,18-64 yrs,Rural North,07/08/2023,27,2023,42,611,6.873977087,Low,3,82,3.658537,Low,0,25,0,Very Low,,,,,,,,,,,,,,,,35,0,0,0,0,0,0,,,
2023/2024,>64 yrs,California,07/08/2023,27,2023,1957,33692,5.808500534,Low,74,3950,1.873418,Very Low,5,3002,0.166556,Very Low,,,,,,,,,,,,,,,,3728,47,1,0,1.26073,0.026824,0,,,
2023/2024,>64 yrs,Rural North,07/08/2023,27,2023,38,325,11.69230769,Moderate,0,71,0,Very Low,0,22,0,Very Low,,,,,,,,,,,,,,,,102,2,0,0,1.960784,0,0,,,
2023/2024,0-17 yrs,California,07/08/2023,27,2023,590,16984,3.473857749,Low,116,1649,7.034566,Low,15,1311,1.144165,Low,,,,,,,,,,,,,,,,68,1,0,0,1.470588,0,0,11,19,7
2023/2024,All Ages,California,07/08/2023,27,2023,5980,122983,4.862460665,Low,350,11565,3.026373,Low,22,8955,0.245673,Very Low,,,0.7,0.1,0,,,,,,,,,,,5129,55,1,1,1.072334,0.019497,0.019497,,,
2023/2024,All Ages,Central California,07/08/2023,27,2023,617,17372,3.551692378,Low,24,755,3.178808,Low,0,652,0,Very Low,,,,,,,,,,,,,,,,637,8,0,0,1.255887,0,0,,,
