SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2023/2024,06/29/2024,26,2024,50,50,17,15,2,45,2,10.85,10.9,0.5595238095238095,0.07767857142857143,53.107142857142854,2.3029761904761905,9.386309523809524,7.137499999999999,156.9047619047619,11.464880952380952
2024/2025,07/06/2024,27,2024,93,51,17,22,3,93,3,10.3,10.35,0.5476190476190477,0.07017857142857144,69.69642857142857,3.1184523809523808,11.776190476190477,8.52202380952381,182.5297619047619,13.482738095238094
2024/2025,07/13/2024,28,2024,88,55,21,12,2,88,3,10.2,10.2,0.6488095238095238,0.1511309523809524,64.5297619047619,2.7464285714285714,9.508333333333335,9.651190476190477,166.14880952380952,15.317857142857143
2024/2025,07/20/2024,29,2024,45,37,13,9,2,45,2,10.55,10.65,0.5178571428571429,0.09755952380952382,57.56547619047619,2.1083333333333334,7.204761904761905,6.919047619047619,138.92857142857142,10.969642857142858
2024/2025,07/27/2024,30,2024,45,43,16,16,2,45,2,10.0,10.05,1.4702380952380953,0.10488095238095238,52.04761904761905,2.219642857142857,9.10654761904762,7.7839285714285715,147.47619047619048,12.726190476190476
2024/2025,08/03/2024,31,2024,51,51,18,15,3,47,2,9.75,9.9,0.8392857142857143,0.13940476190476192,46.595238095238095,2.1357142857142857,9.04404761904762,7.623809523809523,167.2202380952381,11.752380952380953
2024/2025,08/10/2024,32,2024,53,51,18,15,3,53,2,9.9,10.25,0.2976190476190476,0.10184523809523809,58.208333333333336,2.4095238095238094,9.807738095238095,9.25,184.99404761904762,14.40595238095238
2024/2025,08/17/2024,33,2024,41,33,11,8,2,41,1,9.8,10.25,0.0,0.04619047619047619,43.625,1.7416666666666667,7.113095238095238,4.906547619047619,124.79761904761905,7.455357142857143
2024/2025,08/24/2024,34,2024,40,26,9,10,2,40,2,9.0,9.0,0.0,0.08517857142857144,54.398809523809526,1.8011904761904762,7.595833333333333,4.9279761904761905,161.0952380952381,7.552380952380952
2024/2025,08/31/2024,35,2024,79,47,16,14,3,79,3,8.5,8.55,0.6607142857142857,0.10601190476190475,70.76785714285714,2.895238095238095,10.835714285714285,8.970833333333333,206.61309523809524,13.988095238095237
2024/2025,09/07/2024,36,2024,55,53,19,18,3,55,3,8.1,8.3,0.25,0.055,60.69642857142857,2.905952380952381,13.286904761904761,9.02202380952381,203.54761904761904,13.729761904761904
2024/2025,09/14/2024,37,2024,59,56,20,16,3,59,2,8.0,8.0,0.07142857142857142,0.05880952380952381,52.529761904761905,2.357142857142857,11.485714285714286,8.347619047619048,202.14880952380952,12.627380952380953
2024/2025,09/21/2024,38,2024,41,37,12,17,3,41,1,6.9,6.9,0.011904761904761904,0.11750000000000001,54.910714285714285,1.5023809523809524,8.104761904761904,6.322023809523809,179.48809523809524,9.73154761904762
2024/2025,09/28/2024,39,2024,93,65,26,20,4,93,4,6.65,6.75,0.7261904761904762,0.09583333333333334,63.214285714285715,3.268452380952381,14.327380952380953,12.363095238095237,237.83928571428572,18.69702380952381
